City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
293,Prince Rupert,CA,54.3161,-130.3201,51.89,58,40,21.85,scattered clouds
294,Safaga,EG,26.7292,33.9365,72.43,44,11,10.13,few clouds
295,Oistins,BB,13.0667,-59.5333,78.89,69,20,13.8,few clouds
296,Trondheim,NO,63.4305,10.3951,39.29,86,100,5.82,overcast clouds
297,Spearfish,US,44.4908,-103.8594,55.89,76,100,13.8,overcast clouds
298,Bundaberg,AU,-24.85,152.35,81.21,58,75,24.16,broken clouds
299,Arlit,NE,18.7369,7.3853,85.1,11,5,7.96,clear sky
300,Amalapuram,IN,16.5833,82.0167,79.72,84,82,3.06,broken clouds
301,Forest Grove,US,45.5198,-123.1107,60.08,72,75,6.91,broken clouds
302,Mayo,US,38.8876,-76.5119,65.39,59,0,4.61,clear sky
303,Huarmey,PE,-10.0681,-78.1522,67.84,86,100,7.72,overcast clouds
304,Vilhena,BR,-12.7406,-60.1458,68.68,97,75,3.49,broken clouds
305,Great Yarmouth,GB,52.6083,1.7305,52.45,93,55,19.91,broken clouds
306,San Policarpo,PH,12.1791,125.5072,83.1,79,11,10.02,few clouds
307,Khatanga,RU,71.9667,102.5,5.83,91,86,7.92,overcast clouds
308,Varkaus,FI,62.3153,27.873,39.31,94,33,5.84,scattered clouds
309,Awbari,LY,26.5921,12.7805,69.71,22,0,7.18,clear sky
310,Kaitangata,NZ,-46.2817,169.8464,59.05,56,15,10.83,few clouds
311,Karratha,AU,-20.7377,116.8463,87.46,21,0,15.9,clear sky
312,Marivan,IR,35.5219,46.176,50.56,31,0,4.14,clear sky
313,Cachipay,CO,5.2667,-74.5667,70.65,99,89,2.73,overcast clouds
314,San Andres,CO,12.5847,-81.7006,82.42,78,40,6.91,scattered clouds
315,Tatarsk,RU,55.219,75.9828,27.97,71,100,10.02,overcast clouds
316,Kamaishi,JP,39.2667,141.8833,58.82,70,100,9.48,overcast clouds
317,Noumea,NC,-22.2763,166.4572,82.99,99,7,13.13,clear sky
318,Mehamn,NO,71.0357,27.8492,36.45,80,95,15.17,overcast clouds
319,Sandwick,GB,60.0,-1.25,44.42,87,100,21.85,overcast clouds
320,Awjilah,LY,29.1081,21.2869,74.61,13,59,8.32,broken clouds
321,Mananara,MG,-16.1667,49.7667,73.22,95,93,4.09,light rain
322,Lerwick,GB,60.1545,-1.1494,44.6,81,100,19.46,overcast clouds
323,Ilhabela,BR,-23.7781,-45.3581,72.64,82,0,5.23,clear sky
324,Kharan,PK,28.5833,65.4167,74.59,28,39,2.93,scattered clouds
325,Versalles,FR,48.8,2.1333,53.01,75,0,10.36,clear sky
326,Olafsvik,IS,64.8945,-23.7142,45.01,87,73,8.75,broken clouds
327,Kieta,PG,-6.2167,155.6333,83.3,74,95,3.11,overcast clouds
328,Iberia,US,29.9502,-91.7507,75.27,69,100,12.66,overcast clouds
329,Sassandra,CI,4.95,-6.0833,78.12,86,28,5.46,scattered clouds
330,Brae,GB,60.3964,-1.353,45.12,80,100,20.0,overcast clouds
331,Half Moon Bay,US,37.4636,-122.4286,62.89,70,0,25.32,haze
332,Hofn,IS,64.2539,-15.2082,45.27,83,57,0.83,broken clouds
333,Vao,NC,-22.6667,167.4833,75.18,66,17,14.38,few clouds
334,Aberdeen,GB,57.1437,-2.0981,44.49,95,49,10.36,scattered clouds
335,Sungaipenuh,ID,-2.0833,101.3833,70.11,88,100,1.83,overcast clouds
336,Aspindza,GE,41.5739,43.2483,42.01,70,65,3.69,broken clouds
337,Ambilobe,MG,-13.2,49.05,72.14,93,100,3.71,overcast clouds
338,Kilrush,IE,52.6397,-9.4833,49.75,82,68,13.09,broken clouds
339,Faya,SA,18.3851,42.4509,62.71,37,93,1.52,overcast clouds
340,Shebunino,RU,46.4339,141.8603,35.28,96,100,28.12,snow
341,Souillac,MU,-20.5167,57.5167,75.58,60,20,13.8,few clouds
342,Deerlijk,BE,50.8534,3.3542,54.01,71,87,1.99,overcast clouds
